Title,URL,Visit Count,Last Visit Time
"The New York Times - Breaking News, US News, World News and Videos",https://www.nytimes.com/,88,2024-10-04 21:03:14.921710
NYT Cooking - Recipes and Cooking Guides From The New York Times,https://cooking.nytimes.com/,6,2024-07-24 03:39:59.441987
The Crossword - The New York Times,https://www.nytimes.com/crosswords,40,2024-09-29 16:34:04.069973
"September 29, 2024 Daily Mini Crossword Puzzle",https://www.nytimes.com/crosswords/game/mini,40,2024-09-29 16:46:50.433844
Wordle - The New York Times,https://www.nytimes.com/games/wordle/index.html,41,2024-09-29 16:33:59.120839
Connections - The New York Times,https://www.nytimes.com/games/connections,23,2024-09-29 16:34:02.198053
Strands: Uncover Words. - The New York Times,http://nytimes.com/games/strands,33,2024-08-26 20:16:21.229169
Strands: Uncover Words. - The New York Times,https://nytimes.com/games/strands,33,2024-08-26 20:16:21.229169
Strands: Uncover Words. - The New York Times,https://www.nytimes.com/games/strands,40,2024-09-29 16:34:00.615531
Alec Baldwin Manslaughter Trial in ‘Rust’ Shooting Dismissed Over Evidence - The New York Times,https://www.nytimes.com/2024/07/12/arts/rust-trial-pause-alec-baldwin-shooting.html,1,2024-07-13 00:41:13.025114
Ocasio-Cortez Loses the Democratic Socialists’ Endorsement Over Israel - The New York Times,https://www.nytimes.com/2024/07/11/us/politics/aoc-dsa-endorsement.html,1,2024-07-13 00:45:43.167773
The 200+ Best Amazon Prime Day Deals of 2024 | Reviews by Wirecutter,https://www.nytimes.com/wirecutter/money/best-amazon-prime-day-deals-live-updates-2024-0716/,2,2024-07-17 00:23:13.858633
The 200+ Best Amazon Prime Day Deals of 2024 | Reviews by Wirecutter,https://www.nytimes.com/wirecutter/money/best-amazon-prime-day-deals-live-updates-2024-0716/#camera-and-photography-deals,2,2024-07-17 00:25:58.289080
The 200+ Best Amazon Prime Day Deals of 2024 | Reviews by Wirecutter,https://www.nytimes.com/wirecutter/money/best-amazon-prime-day-deals-live-updates-2024-0716/#travel-packing-and-luggage-deals,2,2024-07-17 00:26:04.872058
The 200+ Best Amazon Prime Day Deals of 2024 | Reviews by Wirecutter,https://www.nytimes.com/wirecutter/money/best-amazon-prime-day-deals-live-updates-2024-0716/#outdoor-hiking-and-camping-deals,2,2024-07-17 00:26:09.102169
The 200+ Best Amazon Prime Day Deals of 2024 | Reviews by Wirecutter,https://www.nytimes.com/wirecutter/money/best-amazon-prime-day-deals-live-updates-2024-0716/#health-and-grooming-deals,2,2024-07-17 00:26:12.268583
The 200+ Best Amazon Prime Day Deals of 2024 | Reviews by Wirecutter,https://www.nytimes.com/wirecutter/money/best-amazon-prime-day-deals-live-updates-2024-0716/#home-powering-chargers-and-batteries,2,2024-07-17 00:26:20.698506
What’s the Best City for Renters? - The New York Times,https://www.nytimes.com/2024/07/18/realestate/whats-the-best-city-for-renters.html,1,2024-07-19 17:11:08.798660
"NYT Connections Answers for July 21, 2024 - The New York Times",https://www.nytimes.com/2024/07/20/crosswords/connections-companion-406.html,1,2024-07-21 20:05:45.095048
This Street Was Clogged With Traffic. Now It Belongs to Ping-Pong. - The New York Times,https://www.nytimes.com/2024/07/15/nyregion/open-streets-new-york.html,1,2024-07-23 14:55:22.608304
Why Bicycle Deaths Have Risen in New York City - The New York Times,https://www.nytimes.com/2024/03/05/nyregion/nyc-cyclist-deaths-ebike.html,2,2024-07-23 15:25:30.855572
We Tested Tulip’s Renter-Friendly Boob-Light Cover in 3 of Our Own Homes | Reviews by Wirecutter,https://www.nytimes.com/wirecutter/reviews/tulip-shade-review/,2,2024-07-23 22:25:43.607467
The 5 Best Olive Oils You Can Buy at the Store in 2024 | Reviews by Wirecutter,https://www.nytimes.com/wirecutter/reviews/best-olive-oil/,4,2024-08-26 03:30:20.740603
The 8 Best Sympathy Gifts for 2024 | Reviews by Wirecutter,https://www.nytimes.com/wirecutter/gifts/best-sympathy-gifts/,2,2024-07-23 22:26:04.566650
Search Thousands of Recipes - NYT Cooking,https://cooking.nytimes.com/search?q=vietnamese,2,2024-07-23 23:07:13.238390
Search Thousands of Recipes - NYT Cooking,https://cooking.nytimes.com/search?q=gochujang,2,2024-07-24 03:40:05.430312
"Today’s Wordle Answer for Saturday, July 27, 2024 - The New York Times",https://www.nytimes.com/2024/07/26/crosswords/wordle-review-1135.html,2,2024-07-28 00:24:09.816728
"WordleBot: Your Daily, Personalized Wordle Score - The New York Times",https://www.nytimes.com/interactive/2022/upshot/wordle-bot.html,2,2024-07-28 00:24:05.282637
The 3 Best Yoga Mats of 2024 | Reviews by Wirecutter,https://www.nytimes.com/wirecutter/reviews/best-yoga-mats/,2,2024-07-29 00:44:26.309983
The 6 Best White Sneakers of 2024 | Reviews by Wirecutter,https://www.nytimes.com/wirecutter/reviews/best-white-sneakers/,2,2024-07-29 00:44:27.512632
‘The Interview’: Melinda French Gates Is Ready to Take Sides - The New York Times,https://www.nytimes.com/2024/07/28/magazine/melinda-french-gates-interview.html,2,2024-07-29 02:20:00.287253
Southport Stabbing: At Least 8 People Injured in English Seaside Town Attack - The New York Times,https://www.nytimes.com/2024/07/29/world/europe/southport-stabbing-uk.html,1,2024-07-29 16:47:15.240372
"Can Urban Design Have a Gender? In This Vienna District, the Answer Is Yes. - The New York Times",https://www.nytimes.com/2024/07/17/realestate/vienna-aspern-seestadt-gender.html,1,2024-07-30 18:49:57.450636
"Today’s Wordle Answer for August 1, 2024 - The New York Times",https://www.nytimes.com/2024/07/31/crosswords/wordle-review-1139.html,1,2024-08-01 17:44:24.762794
Paris Olympics: Who Leads the Medal Count? - The New York Times,https://www.nytimes.com/interactive/2024/07/29/upshot/olympics-medal-table-paris.html,2,2024-08-01 20:22:36.977648
"I Take This Backpack Everywhere. After Two Years, It’s Still Practically Flawless. | Reviews by Wirecutter",https://www.nytimes.com/wirecutter/reviews/everlane-renew-transit-backpack-review/,2,2024-08-01 20:55:27.923845
Olympic discus thrower Veronica Fraley said she couldn’t pay rent. Flavor Flav stepped in to help - The Athletic,https://www.nytimes.com/athletic/5676456/2024/08/02/veronica-fraley-flavor-flav-alexis-ohanian-olympics-rent/,2,2024-08-02 18:30:28.155925
"NYT Connections Answers for Aug. 5, 2024 - The New York Times",https://www.nytimes.com/2024/08/04/crosswords/connections-companion-421.html,1,2024-08-05 14:12:32.489668
5 Key Reasons That Kamala Harris Picked Tim Walz - The New York Times,https://www.nytimes.com/2024/08/06/us/politics/harris-walz-vp-pick.html,1,2024-08-06 21:45:44.716107
"Review: In ‘Disclaimer,’ by Renée Knight, Secrets Wind Up in Print - The New York Times",https://www.nytimes.com/2015/05/28/books/review-in-disclaimer-by-renee-knight-secrets-wind-up-in-print.html,1,2024-08-07 21:17:34.117725
Billy Bean Dies at 60; Led Baseball on Diversity After Coming Out as Gay - The New York Times,https://www.nytimes.com/2024/08/07/sports/baseball/billy-bean-dead.html,1,2024-08-08 00:01:29.824980
Sept. 11 Judge to Decide Whether Guantánamo Plea Deals Are Valid - The New York Times,https://www.nytimes.com/2024/08/07/us/politics/sept-11-guantanamo-plea-deals.html,1,2024-08-08 00:01:43.807506
"Glenn Burke, 42, A Major League Baseball Player - The New York Times",https://www.nytimes.com/1995/06/02/nyregion/glenn-burke-42-a-major-league-baseball-player.html,1,2024-08-08 00:02:07.070627
"Today’s Wordle Review for August 8, 2024 - The New York Times",https://www.nytimes.com/2024/08/07/crosswords/wordle-review-1146.html,1,2024-08-08 14:47:28.943508
Taylor Swift Fans Crave a Presidential Endorsement - The New York Times,https://www.nytimes.com/2024/08/07/arts/music/taylor-swift-kamala-harris.html,1,2024-08-08 18:16:57.701364
"Taylor Swift, leaning further into politics, endorses Joe Biden and Kamala Harris. - The New York Times",https://www.nytimes.com/2020/10/07/us/politics/taylor-swift-joe-biden-kamala-harris.html,1,2024-08-08 20:30:54.107467
Anne Marie Tendler Was Married to John Mulaney. Her Book Isn’t About That - The New York Times,https://www.nytimes.com/2024/08/08/style/anna-marie-tendler-book-john-mulaney-divorce.html,1,2024-08-09 15:03:18.644219
Sheet-Pan Roasted Mushrooms and Spinach Recipe,https://cooking.nytimes.com/recipes/1021960-sheet-pan-roasted-mushrooms-and-spinach,2,2024-08-09 15:37:36.940494
"Today’s Wordle Answer for August 12, 2024 - The New York Times",https://www.nytimes.com/2024/08/11/crosswords/wordle-review-1150.html,1,2024-08-12 19:13:24.794513
"Today’s Wordle Answer for August 13, 2024 - The New York Times",https://www.nytimes.com/2024/08/12/crosswords/wordle-review-1151.html,1,2024-08-13 15:17:59.227622
"NYT Connections Answers for Aug. 14, 2024 - The New York Times",https://www.nytimes.com/2024/08/13/crosswords/connections-companion-430.html,1,2024-08-14 13:46:06.595312
I Love These Compression Socks So Much I Bought a Dozen | Reviews by Wirecutter,https://www.nytimes.com/wirecutter/reviews/wellows-compression-socks-review/,2,2024-08-14 19:52:17.364569
"36 Hours in Provincetown, Massachusetts: Things to Do and See - The New York Times",https://www.nytimes.com/interactive/2024/08/15/travel/things-to-do-provincetown.html,2,2024-08-18 01:38:54.401672
Reading List - The New York Times,https://www.nytimes.com/saved,1,2024-08-18 01:40:52.646729
I’m Choosing Which Interns Will Get Job Offers. Do I Take Privilege Into Account? - The New York Times,https://www.nytimes.com/2024/08/16/magazine/interns-fairness-privilege-ethics.html,1,2024-08-18 02:01:48.315413
Our 6 Favorite Paper Planners of 2024 | Reviews by Wirecutter,https://www.nytimes.com/wirecutter/reviews/our-favorite-paper-planners/,2,2024-08-20 00:01:25.958663
"Today’s Wordle Answer for August 19, 2024 - The New York Times",https://www.nytimes.com/2024/08/18/crosswords/wordle-review-1157.html,1,2024-08-20 00:09:53.741009
Yayoi Kusama Apologizes for Past Racist Remarks - The New York Times,"https://www.nytimes.com/2023/10/17/arts/design/kusama-apologizes-racist-san-francisco.html#:~:text=The%20popular%20Japanese%20artist%20Yayoi,Francisco%20Museum%20of%20Modern%20Art.",1,2024-08-22 22:05:07.129330
This ’Cooling’ Pillow Doesn’t Help My Night Sweats. (But I Still Love It.) | Reviews by Wirecutter,https://www.nytimes.com/wirecutter/reviews/purple-harmony-pillow-review/,2,2024-08-26 03:29:50.591597
Spelling Bee - The New York Times,https://www.nytimes.com/puzzles/spelling-bee,1,2024-08-26 03:38:22.967576
"NYT Spelling Bee Forum for Aug. 25, 2024 - The New York Times",https://www.nytimes.com/2024/08/25/crosswords/spelling-bee-forum.html,1,2024-08-26 03:42:36.249668
Ask Wirecutter: What Are the Best Buy-It-for-Life (and Beyond) Products? | Reviews by Wirecutter,https://www.nytimes.com/wirecutter/reviews/ask-wirecutter-buy-it-for-life-products/,2,2024-08-26 20:16:18.561419
Powerful Fans Are Often Ugly. But This One Is Beautiful. | Reviews by Wirecutter,https://www.nytimes.com/wirecutter/reviews/vornado-silver-swan-review/,2,2024-08-28 00:39:21.948564
"NYT Connections Answers for Aug. 28, 2024 - The New York Times",https://www.nytimes.com/2024/08/27/crosswords/connections-companion-444.html,1,2024-08-28 16:52:06.427351
"Today’s Wordle Answer for August 28, 2024 - The New York Times",https://www.nytimes.com/2024/08/27/crosswords/wordle-review-1166.html,1,2024-08-28 18:27:06.517326
Former Las Vegas Official Robert Telles Convicted in Reporter’s Murder - The New York Times,https://www.nytimes.com/2024/08/28/us/las-vegas-journalist-murder-trial-verdict.html,1,2024-08-28 22:31:44.646586
How the Dallas Cowboy Cheerleaders Stay Sweat-Proof While Performing | Reviews by Wirecutter,https://www.nytimes.com/wirecutter/guides/how-dallas-cowboy-cheerleaders-stay-sweat-proof/,2,2024-08-28 22:34:31.968116
The 5 Best Bed Pillows of 2024 | Reviews by Wirecutter,https://www.nytimes.com/wirecutter/reviews/best-bed-pillows/,2,2024-08-28 22:34:33.656623
"Today’s Wordle Answer for August 29, 2024 - The New York Times",https://www.nytimes.com/2024/08/28/crosswords/wordle-review-1167.html,1,2024-08-30 03:02:33.752745
Enter email - The New York Times,https://myaccount.nytimes.com/auth/enter-email?redirect_uri=https%3A%2F%2Fwww.nytimes.com%2Fcrosswords%2Fgame%2Fmini&response_type=cookie&client_id=games&application=crosswords&asset=navigation-bar,1,2024-08-30 16:57:05.096964
"August 30, 2024 Daily Mini Crossword Puzzle",https://www.nytimes.com/crosswords/game/mini?login=smartlock&auth=login-smartlock,1,2024-08-30 16:57:08.030746
"After Years of Depression, Matt Haig Confronts What Haunted Him - The New York Times",https://www.nytimes.com/2024/09/05/books/matt-haig-the-life-impossible.html,1,2024-09-07 21:31:25.868687
Opinion | High Schoolers Need to Do Less So That They Can Do Better - The New York Times,https://www.google.com/url?q=https://www.nytimes.com/2024/09/07/opinion/high-school-students-free-time.html?unlocked_article_code%3D1.I04.rqnU.3Nd75P62Ayjx%26smid%3Durl-share&source=gmail&ust=1725898918697000&usg=AOvVaw2t4BHQtQjBoJppTA_fs2b9,1,2024-09-08 21:48:48.447195
Opinion | High Schoolers Need to Do Less So That They Can Do Better - The New York Times,https://www.nytimes.com/2024/09/07/opinion/high-school-students-free-time.html?unlocked_article_code=1.I04.rqnU.3Nd75P62Ayjx&smid=url-share,1,2024-09-16 13:57:45.060698
"Stranded in the CrowdStrike Meltdown: ‘No Hotel, No Food, No Assistance’ - The New York Times",https://www.nytimes.com/2024/09/13/travel/crowdstrike-outage-delta-airlines.html,1,2024-09-13 17:54:32.507496
Future of Murdoch Empire Comes Down to a Court in Nevada - The New York Times,https://www.nytimes.com/2024/09/13/business/media/murdoch-family-trust-nevada.html,1,2024-09-13 17:54:36.184779
"Who Is Nikocado Avocado, the YouTuber Who Revealed Weight Loss? - The New York Times",https://www.nytimes.com/2024/09/11/style/nikocado-avocado-youtuber-weight-loss.html,1,2024-09-13 20:21:29.926998
Pope Says Both Trump and Harris Are ‘Against Life’ - The New York Times,https://www.nytimes.com/2024/09/13/world/europe/pope-us-election-abortion-immigration.html,1,2024-09-13 20:21:36.642079
2024 Emmy Awards: Live Updates and Red Carpet Arrivals - The New York Times,https://www.nytimes.com/live/2024/09/15/arts/emmy-awards,1,2024-09-15 23:22:22.628303
Catholic Priest Is Indicted on Sexual Assault Charges - The New York Times,https://www.nytimes.com/2024/09/15/us/waco-texas-priest-sexual-assault.html,1,2024-09-15 23:22:57.889900
Having a 13-Year-Old Means Reliving Middle School - The New York Times,https://www.nytimes.com/2023/09/20/well/family/teenagers-adolescence-parenting.html,1,2024-09-20 17:44:31.643890
‘Being 13’: What It’s Like to Be a 13-Year-Old Girl Today - The New York Times,https://www.nytimes.com/interactive/2023/09/20/well/family/13-year-old-girls-social-media-self-esteem.html,2,2024-09-20 17:44:36.470224
Ellen DeGeneres Drops New Netflix Special ‘For Your Approval’: Review - The New York Times,https://www.nytimes.com/2024/09/24/arts/television/ellen-degeneres-netflix-for-your-approval.html,1,2024-09-24 14:51:24.496806
U.S. News & World Report Released Its College Rankings - The New York Times,https://www.nytimes.com/2024/09/24/us/us-news-rankings-colleges.html,1,2024-09-24 15:07:39.219758
"David Banks, New York City’s Schools Chancellor, to Resign - The New York Times",https://www.nytimes.com/2024/09/24/nyregion/david-banks-resigns-nyc-schools-chancellor.html,1,2024-09-25 00:04:35.681608
Tracking Investigations in Eric Adams’s Orbit - The New York Times,https://www.nytimes.com/interactive/2024/nyregion/eric-adams-investigations.html,4,2024-09-25 00:05:17.531022
Opinion | Mayor Adams Should Resign - The New York Times,https://www.nytimes.com/2024/09/26/opinion/eric-adams-indictment-resign.html,1,2024-09-26 21:43:38.666552
Opinion | Donald Trump According to Those Who Know Him - The New York Times,https://www.nytimes.com/interactive/2024/09/26/opinion/donald-trump-personality-history.html,2,2024-09-26 21:43:40.728959
Melania Trump’s Interview on Fox News: 3 Takeaways - The New York Times,https://www.nytimes.com/2024/09/26/us/politics/melania-trump-fox-news-interview.html,1,2024-09-26 21:44:01.754488
Account - The New York Times,https://www.nytimes.com/account?source=vi.mum,1,2024-09-27 02:59:54.619989
Subscription overview - The New York Times,https://www.nytimes.com/account/subscription,1,2024-09-27 03:00:00.803433
Try again soon - The New York Times,https://www.nytimes.com/account/settings,1,2024-09-27 03:00:06.996019
Why Are Extreme Heat-Related Deaths So Hard to Track? - The New York Times,https://www.nytimes.com/2024/08/23/us/extreme-heat-deaths.html,1,2024-09-29 17:28:32.304727
"Heat Deaths Have Doubled in the U.S. in Recent Decades, Study Finds - The New York Times",https://www.nytimes.com/2024/08/27/climate/heat-deaths.html,1,2024-09-29 17:28:32.654198
MacArthur Foundation Announces 2024 ‘Genius’ Grant Winners - The New York Times,https://www.nytimes.com/2024/10/01/arts/macarthur-foundation-2024-genius-grant-winners.html,1,2024-10-01 23:11:24.536541
Kiki and Herb Will Be Back Where They Belong for Christmas - The New York Times,https://www.nytimes.com/2021/11/28/theater/kiki-and-herb-christmas-show.html,1,2024-10-01 23:13:12.729080
"Vance-Walz V.P Debate Live Updates: Latest News, Fact-Checking and Analysis - The New York Times",https://www.nytimes.com/live/2024/10/01/us/walz-vance-vp-debate,2,2024-10-02 01:23:46.661982
Dancing in an Emotional Washing Machine - The New York Times,https://www.nytimes.com/2024/09/30/arts/dance/botis-seva-blckdog-joyce-theater.html,1,2024-10-04 13:58:36.246039
